,sent,preds
0,'Real Housewives of Miami' reboot includes franchise’s 1st lesbian couple,0
1,Reserve Bank Puts Off Plunging Country Into Intergenerational Recession For Another Quarter,0
2,A Latina scientist co-created a new Covid vaccine. She's nominated for the Nobel Peace Prize.,0
3,Ayala: Democratic Latino voters may be agonizing over their options for county judge,0
4,India Defense Ministry denies clearance to film about gay former soldier,0
5,A Muslim Employee Led Me to Islam,0
6,"Damn, he was a tank when he played.",1
7,"I addressed your comment, JC12345.",0
8,"Well said, JATK.",0
9,So far not a shred of evidence of Russian interference in the US election has been brought to light and every intelligence agency has stated there is zero evidence.,0
10,Oscar-Nominated Director Sam Pollard Talks New Film Based on Negro Leagues,0
11,Yes they keep us on our toes just like we do them.They dont have to use planes to spy on us.,0
12,"On a semi-unrelated note, our Canadian cable TV service providers, time to suspend CNN from Canadian TV programming for a few months until they shape-up, it's become an unreliable source of information highly politically motivated, a disservice to Canadians, Canadians don't deserve to be subjected to their kind of misleading propaganda.",0
13,"Yes, my thoughts too.",0
14,Trans-cab driver dangerously cuts motorcycle's path twice at Yishun Central,0
15,Meek Mill & Roddy Ricch Debut New Song Dedicated To Nipsey Hussle During The 2020 Grammy Awards,0
16,Roddy Ricch Goes Off Responding to Accusations That He's False Flagging,0
17,"Cochise on the 'Blessing' of 'Tell Em' Success, Being Inspired by Tyler, The Creator and More",0
18,"""Mark Green, a Republican state senator from Tennessee, said in a statement that 'false and misleading attacks' against him had turned his nomination into a distraction.""",0
19,"Pushing Party for Alex Morse Accountability, Mass. Democrat Is Called “F****t”",1
20,Gay People Do Not Have License to Weaponize Homophobic Slurs,0
21,See if you're still a loud and proud dipper before the next election...,0
22,Worst Opinion of the Week: Lying Is Bad (Unless You Pay Facebook to Do It),1
23,6.5% unemployment rate.,0
24,The Chump administration will be up for the Oscars comedy of the year .,0
25,The greater myth is that Vancouver's density is not high enough.,0
26,"Newsflash
God didn't create people to be same sex attracted",0
27,"After making history as an openly gay driver, Burlington's Devon Rouse chases even bigger NASCAR dreams",0
28,Did Trump fire Flynn for this???,0
29,Another Lieberal boondoggle.Rent control means more condos.,0
30,Whatever leverage the EU had will be gone after the national elections.,0
31,"The man who did this was her grandson, so I don't think a gate would have prevented this.No, he didn't have an accomplice.",0
32,Boston's Generation Z population want somewhere to be queer,1
33,Why is everyone suddenly using the C-word?,0
34,More Evidence of China's Horrific Abuses in Xinjiang,0
35,"Denver’s only lesbian bar is being sued for racial discrimination, unfair pay",0
36,The Liberals instructed BC Hydro to hand over 7 billion dollars worth of dividends - and forced BC Hydro to borrow money to do so.,1
37,Putin's puppets and trolls are trying to destroy the EU and NATO.,1
38,"Oil for Breasts: How to Use, Benefits, and Precautions",0
39,How to Say Happy Chinese New Year in Mandarin: 14 Lunar Greetings and Wishes to Message,0
40,The oil companies should be held to the same standard of the commercial nuclear plant operators (at least in the US) by paying a fixed amount per barrel produced into an escrow fund that will cover their cleanup liabilities at end-of-use.,0
41,Cunts – Cunts,1
42,10 'Must-Watch' Black History Documentaries,0
43,Trump is more corrupt than Hillary.,1
44,Why in the world would this author choose John Kasich as the third candidate???,0
45,Florence Price Is not Your Negro | WQXR Editorial,0
46,98 Best Romantic Movies Of All Time,0
47,Third-generation Johnson to race Trans Am,0
48,‘A trailblazing queer writer’: Carmen Maria Machado on They by Kay Dick,1
49,"Since Lydda was near Joppa, the disciples hearing that Peter was there, sent two men (nothing about their orientation) to him with the request, “Please come to us without delay” (Acts 9:38).",0
50,Even more horrible then...,0
51,Next time the tourist might try for a selfie - lie down next to the dragon in a warm embrace.,0
52,Why did I date men for so long before coming out as a lesbian?,1
53,You can drive it until it is your turn!,0
