Unnamed: 0,Sentences,gay,black,lesbian,chinese,indian
0,Mulan producer gives the absolute worst reason for axing 'bisexual' character from live action remake,0,0,1,0,0
1,States across U.S. still cling to outdated gay marriage bans,1,0,1,0,0
2,"'Hey, faggot!': Gavin McCrea on a lifetime of homophobic abuse and violence",1,0,0,0,0
3,Enter the world of Diet Paratha's South Asia-drenched culturescape,0,0,0,1,1
4,Visiting law professor discusses new book focused on the racialization of immigrant Muslims in American society – The Daily Free Press,0,0,0,0,0
5,"Arnie Kantrowitz, Pioneer of Gay Liberation, Dies at 81",1,0,0,0,0
6,Lot. 2.NWHU20C3597 Blue Cock son of the outstanding “Goodyear Cock” Superstar at breeding x gd “Wild Wind”,0,0,0,0,0
7,Blac Youngsta Performs Young Dolph Diss Track 'Shake Sum' Following Dolph's Death - Watch,0,0,0,0,0
8,Polo G – Bloody Canvas Lyrics,1,1,1,1,1
9,"Gay students protected, but trans students could still be expelled",1,0,1,0,0
10,Dipti Vaid Dedhia is New Jersey's first South Asian woman municipal...,0,0,1,0,0
11,LGBTQ students navigate health care gaps in Columbia,0,0,1,0,0
12,"Quidditch to change name, citing J.K. Rowling's 'anti-trans positions'",0,1,1,0,1
13,Opinion | Russia and China announce a bid to make the world safe for dictatorship,0,0,0,0,0
14,"For Black History Month, stream these impactful, uplifting movies and TV shows",1,0,0,0,0
15,Maeve Higgins: A rare reminder of an enormous and horrific part of America's past,0,1,1,1,1
16,"Menendez Meets with Parents & Educators, Discusses Learning Loss Amidst Pandemic",0,0,0,0,0
17,"What Leondra Kruger, a Potential Nominee, Could Bring to the Supreme Court",0,0,1,0,1
18,Black History Month founder Carter G. Woodson's 'Mis-Education of the Negro' on teaching race in schools,0,1,0,0,0
19,Black-Owned Hospice Seeks to Bring Greater Ease in Dying to Black Families,0,0,0,0,0
20,Navy LB Diego Fagot had no idea he'd get the snap on incredible fake punt conversion,0,0,0,0,0
21,I'm a bisexual woman and I don't know how to date non-queer men,1,0,1,0,0
22,Growing Up Black and Queer - HRC,1,1,1,1,1
23,How To Seduce A Lesbian With Tiramisù,0,0,1,0,0
24,"Teenage transgender row splits Sweden as dysphoria diagnoses soar by 1,500%",0,0,0,0,0
25,"'When you give, you get back': Black-owned floral shop is thriving on the SouthCoast",0,0,0,0,0
26,Former Negro Leaguer Sam Allen shares story as Virginia Beach card expo sees soaring demand,1,0,0,0,0
27,"Disney+'s 'Hawkeye' Is Almost Here, But Don’t Expect Any Queer Rep",0,0,0,0,0
28,Nigo & A$AP Rocky - Arya lyrics,1,1,1,1,1
29,Ed Sheeran Opens Up About Feminine Side And Believing He Was Gay When Younger,1,0,1,0,0
30,Black Women in Law Feel Pride and Frustration Ahead of Court Nominee,0,1,1,0,0
31,Why Nobody Should Have To Prove They Are Bi ‘Enough’,1,1,1,1,1
32,Negro Leagues had their own two-way stars,0,1,0,0,0
33,JCHn: I share your feelings on Wynne but she got 2 things right this week- tough on trade and prison infrastructure/reform.,0,0,0,0,0
34,From Bondage to Freedom | Underground Railroad carried many through region's communities,0,0,0,0,0
35,Ruth Jones and the BBC defend Gavin and Stacey stars singing homophobic slur ‘f*****’ in Fairytale of New Y...,1,0,1,0,0
36,The Walking While Trans Ban Is ‘Stop and Frisk 2.0’,0,0,0,0,0
37,What Dave Chappelle gets wrong about trans people and comedy,1,1,1,0,0
38,Liam Gallagher - Everything's Electric lyrics,1,0,0,0,1
